Date,1,2,3,4,5,Megaball
9/29/2025,14,21,29,32,35,6
9/27/205,14,15,18,26,34,5
9/24/2025,4,6,15,22,36,4
9/21/2025,2,14,15,32,33,1
9/20/2025,4,8,16,26,28,3
9/17/2025,6,10,21,31,34,3
9/15/2025,7,10,18,19,41,5
9/13/2025,4,7,15,30,34,2
9/10/2025,12,22,29,30,41,5
9/8/2025,1,3,20,26,41,6
9/6/2025,3,4,23,26,39,2
9/3/2025,2,3,16,25,33,5
9/1/2025,8,14,16,24,34,3
8/30/2025,1,8,9,16,38,4
8/27/2025,3,5,11,15,25,1
8/25/2025,2,13,19,20,38,5
8/23/2025,10,17,29,36,38,3
8/20/2025,2,3,11,14,38,6
8/18/2025,14,15,18,25,30,1
8/16/2025,5,11,25,31,41,1
8/13/2025,1,2,7,9,21,4
8/11/2025,9,10,31,38,39,3
8/9/2025,12,23,26,37,41,6
8/6/2025,9,12,16,17,36,4
8/4/2025,5,16,29,39,41,1
8/2/2025,1,4,5,9,20,4
7/30/2025,1,2,11,15,27,3
7/28/2025,3,4,5,17,34,1
7/26/2025,15,16,21,24,33,5
7/23/2025,3,4,16,25,31,6
7/21/2025,6,18,20,22,24,5
7/19/2025,5,9,25,34,38,4
7/16/2025,5,17,22,26,37,4
7/14/2025,2,4,34,35,40,3
7/12/2025,13,16,21,22,36,3
7/9/2025,20,23,27,31,32,2
7/7/2025,4,26,29,33,39,3
7/5/2025,4,16,33,40,41,5
7/2/2025,8,10,13,15,17,3
6/30/2025,4,6,26,34,39,2
6/28/2025,5,6,19,20,34,1
6/25/2025,20,25,29,40,41,1
6/23/2025,8,23,24,26,32,5
6/21/2025,11,17,21,29,41,5
6/18/2025,15,19,21,27,35,3
6/16/2025,8,14,25,36,38,1
6/14/2025,19,21,36,38,39,2
6/11/2025,2,4,18,32,33,5
6/9/2025,20,24,27,38,41,6
6/7/2025,5,13,24,34,39,2
6/4/2025,6,8,15,34,37,4
6/2/2025,1,8,10,19,20,1
5/31/2025,6,7,32,39,41,3
5/28/2025,3,19,27,30,36,2
5/26/2025,2,14,16,29,34,1
5/24/2025,4,7,19,38,40,4
5/21/2025,2,20,21,22,26,6
5/19/2025,12,21,22,27,28,4
5/17/2025,9,22,24,27,31,6
5/14/2025,1,7,16,22,38,2
5/12/2025,1,6,15,30,38,1
5/10/2025,3,5,11,18,31,5
5/7/2025,6,29,31,32,41,6
5/5/2025,15,20,24,34,35,4
5/3/2025,1,9,24,29,33,6
4/30/2025,4,9,14,21,29,1
4/28/2025,2,15,17,28,30,3
4/26/2025,9,10,12,16,35,6
4/23/2025,6,19,27,28,41,3
4/21/2025,4,6,18,28,41,4
4/19/2025,9,17,25,36,37,6
4/16/2025,9,11,21,31,38,5
4/14/2025,15,17,20,27,38,2
4/12/2025,16,19,26,27,30,5
4/9/2025,4,14,21,30,37,2
4/7/2025,7,24,26,38,39,6
4/5/2025,6,11,15,22,37,1
4/2/2025,4,13,22,23,36,1
3/31/2025,1,13,14,21,29,2
3/29/2025,4,18,36,37,39,2
3/26/2025,9,11,15,23,40,6
3/24/2025,2,3,4,8,19,6
3/22/2025,2,4,21,22,34,6
3/19/2025,15,24,27,31,36,6
3/17/2025,7,18,21,25,35,3
3/15/2025,12,21,26,30,31,1
3/12/2025,10,12,13,21,30,6
3/10/2025,3,16,24,35,41,2
3/8/2025,10,12,17,19,40,6
3/5/2025,1,3,18,30,40,6
3/3/2025,9,10,29,32,40,4
3/1/2025,7,26,30,31,38,2
2/26/2025,2,12,27,32,34,6
2/24/2025,13,23,33,35,39,6
2/22/2025,19,25,33,38,40,2
2/19/2025,22,30,34,36,41,6
2/17/2025,7,8,26,33,37,5
2/15/2025,19,29,32,33,36,6
2/12/2025,10,29,32,34,36,4
2/10/2025,5,10,25,26,36,3
2/8/2025,3,16,24,25,31,2
2/5/2025,4,11,20,33,34,5
2/3/2025,8,16,26,29,39,5
2/1/2025,1,9,14,19,33,5
1/29/2025,2,6,17,27,41,5
1/27/2025,3,30,31,34,39,4
1/25/2025,1,15,20,25,27,1
1/22/2025,26,27,31,40,41,5
1/20/2025,5,9,14,25,37,5
1/18/2025,2,4,16,21,32,1
1/15/2025,8,20,29,34,36,6
