DrawDate,1,2,3,4,5,PB,PP*
Monday 9/29/2025,1,3,27,60,65,16,5
Monday 9/29/2025 - Double Play,2,9,12,18,65,26,
Saturday 9/27/2025,10,16,32,61,66,4,2
Saturday 9/27/2025 - Double Play,5,21,22,49,68,25,
Wednesday 9/24/2025,15,31,45,49,53,19,3
Wednesday 9/24/2025 - Double Play,10,21,23,30,56,25,
Monday 9/22/2025,3,29,42,46,59,15,3
Monday 9/22/2025 - Double Play,32,49,50,56,63,19,
Saturday 9/20/2025,15,29,64,66,67,4,2
Saturday 9/20/2025 - Double Play,2,22,34,57,66,25,
Wednesday 9/17/2025,7,30,50,54,62,20,2
Wednesday 9/17/2025 - Double Play,8,19,47,51,58,21,
Monday 9/15/2025,14,15,32,42,49,1,2
Monday 9/15/2025 - Double Play,7,19,42,53,56,4,
Saturday 9/13/2025,28,37,42,50,53,19,2
Saturday 9/13/2025 - Double Play,3,6,20,34,49,12,
Wednesday 9/10/2025,2,24,45,53,64,5,2
Wednesday 9/10/2025 - Double Play,2,12,27,31,60,10,
Monday 9/8/2025,26,28,41,53,64,9,3
Monday 9/8/2025 - Double Play,7,18,19,22,68,13,
Saturday 9/6/2025,11,23,44,61,62,17,2
Saturday 9/6/2025 - Double Play,21,29,34,41,65,17,
Wednesday 9/3/2025,3,16,29,61,69,22,2
Wednesday 9/3/2025 - Double Play,7,32,39,50,61,4,
Monday 9/1/2025,8,23,25,40,53,5,3
Monday 9/1/2025 - Double Play,1,15,26,48,67,19,
Saturday 8/30/2025,3,18,22,27,33,17,3
Saturday 8/30/2025 - Double Play,7,15,36,42,65,14,
Wednesday 8/27/2025,9,12,22,41,61,25,4
Wednesday 8/27/2025 - Double Play,12,19,26,51,62,18,
Monday 8/25/2025,16,19,34,37,64,22,3
Monday 8/25/2025 - Double Play,15,16,23,52,66,25,
Saturday 8/23/2025,11,14,34,47,51,18,2
Saturday 8/23/2025 - Double Play,9,23,24,33,44,19,
Wednesday 8/20/2025,31,59,62,65,68,5,2
Wednesday 8/20/2025 - Double Play,16,17,23,46,52,3,
Monday 8/18/2025,15,46,61,63,64,1,3
Monday 8/18/2025 - Double Play,6,28,38,48,55,23,
Saturday 8/16/2025,23,40,49,65,69,23,3
Saturday 8/16/2025 - Double Play,31,34,43,44,55,2,
Wednesday 8/13/2025,4,11,40,44,50,4,3
Wednesday 8/13/2025 - Double Play,29,33,41,50,54,23,
Monday 8/11/2025,6,16,33,40,62,2,2
Monday 8/11/2025 - Double Play,9,10,17,29,65,5,
Saturday 8/9/2025,7,14,23,24,60,14,2
Saturday 8/9/2025 - Double Play,5,22,26,29,40,6,
Wednesday 8/6/2025,15,27,43,45,53,9,2
Wednesday 8/6/2025 - Double Play,9,19,21,33,46,23,
Monday 8/4/2025,8,9,19,31,38,21,2
Monday 8/4/2025 - Double Play,7,18,41,42,62,3,
Saturday 8/2/2025,6,18,34,35,36,2,2
Saturday 8/2/2025 - Double Play,10,20,36,58,59,5,
Wednesday 7/30/2025,4,15,35,50,64,8,4
Wednesday 7/30/2025 - Double Play,13,32,65,66,68,7,
Monday 7/28/2025,7,35,36,43,62,3,3
Monday 7/28/2025 - Double Play,11,25,40,50,65,21,
Saturday 7/26/2025,8,31,57,65,67,23,3
Saturday 7/26/2025 - Double Play,11,16,21,29,41,1,
Wednesday 7/23/2025,2,18,19,25,35,25,3
